Source_nam,time,Emission gkm,Petrol Emission,Diesel Emission
1,1,6891.566265,1094.301596,5036.013905
1,2,3550.191053,563.7295769,2594.303069
1,3,3371.619725,535.3745003,2463.812023
1,4,4044.72102,642.2552575,2955.680975
1,5,6528.632106,1036.671819,4770.799671
1,6,19289.64432,3062.97404,14095.91279
1,7,65527.38514,10404.99639,47884.15435
1,8,132216.6511,20994.48613,96617.35345
1,9,114337.13,18155.42346,83551.88857
1,10,83586.50382,13272.57709,61080.86019
1,11,73179.19164,11620.01541,53475.71401
1,12,74370.65922,11809.20678,54346.37927
1,13,79805.84135,12672.2513,58318.14007
1,14,82657.36091,13125.03986,60401.88876
1,15,87924.55372,13961.4096,64250.89132
1,16,103355.1542,16411.61179,75526.80679
1,17,135552.6908,21524.21092,99055.16533
1,18,129202.5546,20515.8822,94414.80157
1,19,90648.91941,14394.0076,66241.72228
1,20,52362.4206,8314.55118,38263.85296
1,21,34951.36923,5549.876131,25540.72248
1,22,26255.69299,4169.102587,19186.35473
1,23,19735.00672,3133.692475,14421.36148
1,24,12683.7123,2014.027882,9268.62618
2,1,6152.642046,1366.936304,5453.774645
2,2,3169.534168,704.1773744,2809.512556
2,3,3010.109529,668.7579034,2668.196671
2,4,3611.039879,802.2669724,3200.868437
2,5,5828.62224,1294.948623,5166.559658
2,6,17221.37931,3826.084537,15265.23421
2,7,58501.43923,12997.30108,51856.36732
2,8,118040.1807,26225.06024,104632.2116
2,9,102077.729,22678.67244,90482.90573
2,10,74624.23172,16579.3119,66147.80119
2,11,65332.80739,14515.03039,57911.77282
2,12,66396.52401,14751.35697,58854.6638
2,13,71248.93764,15829.42072,63155.90061
2,14,73794.71293,16395.0172,65412.50593
2,15,78497.14931,17439.76041,69580.80113
2,16,92273.25735,20500.40689,81792.10615
2,17,121018.5251,26886.76087,107272.2513
2,18,115349.2601,25627.21676,102246.9478
2,19,80929.40437,17980.13603,71736.78076
2,20,46748.0422,10386.04157,41438.01725
2,21,31203.83025,6932.574345,27659.44402
2,22,23440.51765,5207.794363,20777.95195
2,23,17618.98927,3914.421788,15617.68038
2,24,11323.74537,2515.803541,10037.50176
3,1,3734.146671,1057.199286,3800.165221
3,2,1923.646033,544.6163183,1957.655495
3,3,1826.888415,517.2226209,1859.187233
3,4,2191.603614,620.4795846,2230.350483
3,5,3537.493352,1001.523447,3600.035132
3,6,10451.958,2959.123865,10636.74536
3,7,35505.5524,10052.21485,36133.2795
3,8,71640.66175,20282.6678,72907.24634
3,9,61952.76909,17539.86359,63048.07475
3,10,45290.75873,12822.57019,46091.48524
3,11,39651.62988,11226.03864,40352.65835
3,12,40297.21821,11408.81547,41009.66047
3,13,43242.23339,12242.59845,44006.7426
3,14,44787.30919,12680.03522,45579.13486
3,15,47641.30053,13488.04783,48483.58389
3,16,56002.2628,15855.17588,56992.36536
3,17,73448.27136,20794.43227,74746.81392
3,18,70007.49475,19820.29095,71245.20545
3,19,49117.47891,13905.97858,49985.86063
3,20,28372.20902,8032.646213,28873.82084
3,21,18938.1534,5361.707509,19272.97405
3,22,14226.46244,4027.749109,14477.98186
3,23,10693.27447,3027.44459,10882.32824
3,24,6872.580229,1945.742241,6994.085307
4,1,2487.485834,762.4230403,2665.692047
4,2,1281.428577,392.7623057,1373.231526
4,3,1216.973904,373.0067248,1304.159249
4,4,1459.927374,447.4728063,1564.518172
4,5,2356.486066,722.2711569,2525.307313
4,6,6962.527116,2134.038723,7461.330195
4,7,23651.87187,7249.380805,25346.31791
4,8,47723.12041,14627.30202,51142.0571
4,9,41269.57215,12649.26708,44226.16956
4,10,30170.24522,9247.284857,32331.67468
4,11,26413.76366,8095.910222,28306.07465
4,12,26843.81956,8227.723848,28766.94023
4,13,28805.62882,8829.025196,30869.29566
4,14,29834.87446,9144.492555,31972.27759
4,15,31736.04859,9727.209023,34009.65391
4,16,37305.66784,11434.31665,39978.2868
4,17,48927.25183,14996.37247,52432.45381
4,18,46635.1932,14293.84855,49976.18959
4,19,32719.3985,10028.60918,35063.45209
4,20,18900.02569,5792.923462,20254.04426
4,21,12615.56988,3866.715949,13519.36315
4,22,9476.897104,2904.70185,10155.83241
4,23,7123.279056,2183.30975,7633.59858
4,24,4578.139925,1403.215774,4906.122891
5,1,3371.383087,718.0708903,2767.432721
5,2,1736.768336,369.9142912,1425.643244
5,3,1649.410494,351.3079443,1353.934707
5,4,1978.694467,421.4421384,1624.230671
5,5,3193.834176,680.2547474,2621.689964
5,6,9436.574811,2009.896087,7746.104561
5,7,32056.27132,6827.665291,26313.70327
5,8,64680.93962,13776.39346,53093.98076
5,9,55934.20299,11913.426,45914.1366
5,10,40890.86783,8709.346019,33565.66807
5,11,35799.56712,7624.949869,29386.42417
5,12,36382.43805,7749.09555,29864.87947
5,13,39041.35192,8315.41762,32047.47487
5,14,40436.32723,8612.533415,33192.55398
5,15,43013.06002,9161.351736,35307.69024
5,16,50561.77442,10769.15243,41504.12616
5,17,66312.9442,14123.99411,54433.62765
5,18,63206.43096,13462.33785,51883.61592
5,19,44345.83112,9445.218657,36401.70842
5,20,25615.91551,5455.933895,21027.07433
5,21,17098.35625,3641.77893,14035.35265
5,22,12844.395,2735.727717,10543.44704
5,23,9654.44796,2056.30089,7924.947862
5,24,6204.925192,1321.587029,5093.373421
6,1,916.7461648,184.4300358,756.2323879
6,2,472.2618788,95.00915145,389.5731905
6,3,448.5075429,90.23027896,369.9780192
6,4,538.0464091,108.2436145,443.8394579
6,5,868.467082,174.7173003,716.4065261
6,6,2565.992515,516.2236937,2116.710952
6,7,8716.738214,1753.624288,7190.517951
6,8,17588.03488,3538.342485,14508.5326
6,9,15209.6231,3059.856087,12546.55873
6,10,11119.04085,2236.917023,9172.199606
6,11,9734.614846,1958.399646,8030.173796
6,12,9893.109054,1990.285345,8160.917134
6,13,10616.12066,2135.740064,8757.336091
6,14,10995.44221,2212.051578,9070.241947
6,15,11696.10714,2353.010617,9648.226928
6,16,13748.75284,2765.959734,11341.47334
6,17,18031.80941,3627.620581,14874.60631
6,18,17187.08663,3457.680134,14177.78668
6,19,12058.51413,2425.919277,9947.179806
6,20,6965.477282,1401.307443,5745.886616
6,21,4649.383386,935.3580927,3835.319345
6,22,3492.646654,702.6470054,2881.116519
6,23,2625.236561,528.1423489,2165.581913
6,24,1687.242661,339.4377161,1391.822072
7,1,1118.223345,175.828254,630.6456361
7,2,576.0528682,90.57794269,324.8771628
7,3,547.0779414,86.02195591,308.5361418
7,4,656.2951428,103.1951529,370.1314857
7,5,1059.333764,166.5685187,597.4336152
7,6,3129.931537,492.1471188,1765.190894
7,7,10632.45262,1671.835585,5996.39587
7,8,21453.43165,3373.314864,12099.11519
7,9,18552.30626,2917.144981,10462.96434
7,10,13562.71946,2132.587638,7648.981646
7,11,11874.0323,1867.060259,6696.610914
7,12,12067.35945,1897.458815,6805.641837
7,13,12949.27037,2036.129554,7303.014098
7,14,13411.95702,2108.881913,7563.955993
7,15,14266.61005,2243.266649,8045.95559
7,16,16770.37436,2636.955898,9458.006275
7,17,21994.73638,3458.429047,12404.39541
7,18,20964.36531,3296.41459,11823.29591
7,19,14708.66476,2312.774863,8295.261664
7,20,8496.309668,1335.950731,4791.673007
7,21,5671.198026,891.7331692,3198.39172
7,22,4260.240373,669.8756827,2402.652398
7,23,3202.195896,503.5098902,1805.945903
7,24,2058.055113,323.6064056,1160.683581
8,1,3240.907413,394.4811345,1773.448066
8,2,1669.553779,203.2169961,913.5919492
8,3,1585.576767,192.995369,867.6391187
8,4,1902.117143,231.5244569,1040.85231
8,5,3070.22981,373.7063682,1680.052043
8,6,9071.370551,1104.161302,4963.919826
8,7,30815.66368,3750.862466,16862.55489
8,8,62177.72684,7568.232321,34024.10355
8,9,53769.49709,6544.788084,29423.05919
8,10,39308.35305,4784.587072,21509.81618
8,11,34414.09043,4188.860621,18831.64014
8,12,34974.40371,4257.061588,19138.24763
8,13,37530.41513,4568.177629,20536.91564
8,14,38871.40359,4731.40187,21270.71426
8,15,41348.41441,5032.90201,22626.15257
8,16,48604.98652,5916.167229,26597.00151
8,17,63746.57132,7759.191046,34882.58664
8,18,60760.28304,7395.701987,33248.46801
8,19,42629.60604,5188.847817,23327.22992
8,20,24624.55566,2997.284839,13474.73564
8,21,16436.63389,2000.656347,8994.245397
8,22,12347.30492,1502.905894,6756.534896
8,23,9280.811806,1129.654354,5078.527601
8,24,5964.788791,726.0301977,3263.975732
9,1,2335.601712,485.5766672,2156.663969
9,2,1203.185456,250.1448688,1111.00566
9,3,1142.66634,237.5628132,1055.123103
9,4,1370.785243,284.9892284,1265.765104
9,5,2212.600697,460.0044892,2043.086447
9,6,6537.400145,1359.139685,6036.549499
9,7,22207.70534,4617.030159,20506.30366
9,8,44809.18051,9315.925921,41376.20922
9,9,38749.68133,8056.142884,35780.9472
9,10,28328.07143,5889.467558,26157.76939
9,11,24800.95797,5156.173011,22900.87911
9,12,25204.75496,5240.123283,23273.73995
9,13,27046.77754,5623.083777,24974.63943
9,14,28013.17817,5824.000566,25867.00109
9,15,29798.26795,6195.124608,27515.32957
9,16,35027.8102,7282.357796,32344.22025
9,17,45939.78851,9550.981779,42420.19781
9,18,43787.68136,9103.554029,40432.97031
9,19,30721.57521,6387.082192,28367.89937
9,20,17746.00352,3689.432663,16386.42676
9,21,11845.27213,2462.657795,10937.76883
9,22,8898.244484,1849.964349,8216.522179
9,23,6688.336685,1390.519719,6175.92232
9,24,4298.601946,893.6886781,3969.272624
10,1,729.5479885,245.7293881,866.1390804
10,2,375.8267195,126.5875189,446.1916342
10,3,356.922983,120.2202838,423.7486075
10,4,428.1781486,144.220745,508.344665
10,5,691.1274212,232.7884128,820.525145
10,6,2042.020736,687.8019181,2424.342182
10,7,6936.793493,2336.479639,8235.548629
10,8,13996.58484,4714.387925,16617.12363
10,9,12103.84113,4076.866117,14370.00717
10,10,8848.549573,2980.405273,10505.23709
10,11,7746.821261,2609.316561,9197.235478
10,12,7872.951192,2651.800169,9346.980339
10,13,8448.324923,2845.599942,10030.07958
10,14,8750.18959,2947.275255,10388.46146
10,15,9307.779805,3135.08511,11050.44763
10,16,10941.27836,3685.286889,12989.78125
10,17,14349.74128,4833.339547,17036.4005
10,18,13677.50961,4606.915679,16238.3089
10,19,9596.183839,3232.226557,11392.84869
10,20,5543.137387,1867.062592,6580.962451
10,21,3699.986351,1246.244793,4392.723749
10,22,2779.453505,936.1870909,3299.842287
10,23,2089.167237,703.6819988,2480.315782
10,24,1342.710269,452.257258,1594.101904
11,1,1796.969,467.9591803,1636.145502
11,2,925.7087607,241.0692187,842.8605196
11,3,879.1464657,228.9436599,800.4654146
11,4,1054.656954,274.64937,960.2682247
11,5,1702.334282,443.3148012,1549.980316
11,6,5029.755433,1309.827955,4579.606954
11,7,17086.20003,4449.517027,15557.03484
11,8,34475.35933,8977.929445,31389.91497
11,9,29813.29211,7763.853323,27145.0892
11,10,21795.09714,5675.788392,19844.49935
11,11,19081.40091,4969.098927,17373.67104
11,12,19392.07489,5050.003351,17656.5406
11,13,20809.29319,5419.069435,18946.92198
11,14,21552.82405,5612.696646,19623.909
11,15,22926.2393,5970.355722,20874.40758
11,16,26949.75292,7018.142377,24537.82844
11,17,35345.22834,9204.457106,32181.93322
11,18,33689.43668,8773.26274,30674.3301
11,19,23636.61493,6155.348783,21521.20665
11,20,13653.44872,3555.574231,12431.50477
11,21,9113.534513,2373.308689,8297.899686
11,22,6846.145646,1782.844726,6233.435527
11,23,5145.883231,1340.069472,4685.341652
11,24,3307.265276,861.2642442,3011.274655
12,1,1479.648241,443.7794288,1682.789865
12,2,762.2409399,228.6130173,866.8893676
12,3,723.9009252,217.1139939,823.2856338
12,4,868.4186021,260.4580606,987.6442125
12,5,1401.724752,420.4084407,1594.168222
12,6,4141.567706,1242.148303,4710.165542
12,7,14069.00499,4219.607624,16000.5455
12,8,28387.47068,8514.034063,32284.80028
12,9,24548.66235,7362.690034,27918.96009
12,10,17946.37367,5382.51676,20410.24
12,11,15711.88,4712.342394,17868.97162
12,12,15967.6931,4789.066433,18159.90542
12,13,17134.64955,5139.062636,19487.07388
12,14,17746.88278,5322.685004,20183.36091
12,15,18877.77121,5661.863607,21469.50956
12,16,22190.78599,6655.510452,25237.36975
12,17,29103.73242,8728.856894,33099.39793
12,18,27740.33148,8319.942619,31548.81502
12,19,19462.70398,5837.297957,22134.74803
12,20,11242.43177,3371.855426,12785.91067
12,21,7504.205867,2250.678304,8534.461925
12,22,5637.207633,1690.723994,6411.142599
12,23,4237.188884,1270.827222,4818.914598
12,24,2723.246338,816.7621674,3097.122146
13,1,2511.227939,857.0678366,2996.602574
13,2,1293.659325,441.5185821,1543.700117
13,3,1228.589457,419.3106055,1466.053428
13,4,1473.861825,503.020672,1758.732478
13,5,2378.977829,811.9316249,2838.790925
13,6,7028.981786,2398.951573,8387.555977
13,7,23877.61998,8149.29612,28492.72914
13,8,48178.61943,16443.08925,57490.6693
13,9,41663.47451,14219.50728,49716.26549
13,10,30458.20872,10395.21369,36345.22586
13,11,26665.87297,9100.911035,31819.90067
13,12,27100.03359,9249.087589,32337.97663
13,13,29080.56758,9925.032593,34701.31177
13,14,30119.63698,10279.66108,35941.21436
13,15,32038.95709,10934.71413,38231.5041
13,16,37661.73624,12853.73673,44941.06408
13,17,49394.24382,16857.97495,58941.25174
13,18,47080.30836,16068.24192,56180.0747
13,19,33031.6927,11273.52916,39416.11743
13,20,19080.41924,6512.038746,22768.31685
13,21,12735.9807,4346.717896,15197.61386
13,22,9567.350479,3265.282394,11416.54512
13,23,7191.268042,2454.33895,8581.209211
13,24,4621.836528,1577.406564,5515.153371
14,1,252.4520546,48.64582526,186.9527946
14,2,130.0507013,25.05990176,96.30875093
14,3,123.5092712,23.79941187,91.46450978
14,4,148.1663373,28.55066386,109.724244
14,5,239.15704,46.08396472,177.1072018
14,6,706.6188084,136.1607261,523.2849508
14,7,2400.401067,462.5412576,1777.611548
14,8,4843.364186,933.2839387,3586.742328
14,9,4188.401052,807.076916,3101.710869
14,10,3061.943224,590.0160141,2267.515088
14,11,2680.702264,516.5534266,1985.187962
14,12,2724.348138,524.9636953,2017.509815
14,13,2923.449887,563.3292728,2164.954162
14,14,3027.906834,583.457429,2242.309517
14,15,3220.854793,620.6372124,2385.196689
14,16,3786.108997,729.5579231,2803.794403
14,17,4965.570088,956.8321999,3677.24163
14,18,4732.951714,912.0081925,3504.976623
14,19,3320.653836,639.8678216,2459.102643
14,20,1918.141705,369.6130987,1420.475475
14,21,1280.339568,246.7128857,948.1525538
14,22,961.7993047,185.3323039,712.2582867
14,23,722.9333365,139.3044268,535.3666374
14,24,464.6301156,89.53112085,344.0807749
15,1,470.6113601,65.45352946,298.0851363
