Source_nam,time,Emission gkm,Petrol Emission,Diesel Emission
15,2,242.4354894,33.71839227,153.5585879
15,3,230.2412084,32.02238831,145.8347329
15,4,276.2059577,38.4152537,174.9487954
15,5,445.8273079,62.00651601,282.3869229
15,6,1317.251464,183.2058569,834.3467995
15,7,4474.734866,622.3546969,2834.296121
15,8,9028.812266,1255.744505,5718.847786
15,9,7807.855312,1085.931473,4945.493909
15,10,5707.95618,793.8734796,3615.418241
15,11,4997.26152,695.0287049,3165.264393
15,12,5078.624473,706.3448203,3216.799671
15,13,5449.782256,757.9661557,3451.890932
15,14,5644.506858,785.0488263,3575.229454
15,15,6004.192983,835.0746617,3803.05457
15,16,7057.918016,981.6287578,4470.483784
15,17,9256.623782,1287.428968,5863.143552
15,18,8822.985603,1227.117739,5588.477221
15,19,6190.2345,860.9496723,3920.893228
15,20,3575.725608,497.3187672,2264.863847
15,21,2386.759523,331.9550865,1511.772979
15,22,1792.949079,249.3667925,1135.653569
15,23,1347.664376,187.435743,853.6103319
15,24,866.1454983,120.4651751,548.616376
16,1,420.0923014,26.53457484,102.4983739
16,2,216.4105912,13.66928889,52.80204762
16,3,205.5253385,12.9817363,50.14615343
16,4,246.5558766,15.57337599,60.15719962
16,5,397.9687608,25.13717064,97.10044845
16,6,1175.847516,74.27085385,286.8951847
16,7,3994.382259,252.2998747,974.5898344
16,8,8059.589812,509.0733354,1966.460341
16,9,6969.69981,440.2318742,1700.537941
16,10,5095.220071,321.8328397,1243.183392
16,11,4460.816866,281.7616,1088.395273
16,12,4533.445691,286.3491037,1106.115989
16,13,4864.76053,307.2761675,1186.953539
16,14,5038.581889,318.2553638,1229.364235
16,15,5359.656528,338.5356189,1307.703276
16,16,6300.266576,397.9480091,1537.202841
16,17,8262.946281,521.9180779,2016.077312
16,18,7875.858174,497.4681694,1921.631635
16,19,5525.726911,349.0252351,1348.22281
16,20,3191.8796,201.6108552,778.7871087
16,21,2130.546319,134.5731416,519.8322667
16,22,1600.480075,101.0922081,390.5013367
16,23,1202.995672,75.9856312,293.5190666
16,24,773.1667498,48.83605559,188.6450534
17,1,3136.696696,281.1338707,1200.057219
17,2,1615.869618,144.8261417,618.209597
17,3,1534.59287,137.5415207,587.1142257
17,4,1840.954954,164.9999481,704.3241657
17,5,2971.507198,266.3283706,1136.857978
17,6,8779.682483,786.8998372,3358.986337
17,7,29824.7923,2673.11765,11410.55728
17,8,60178.41473,5393.632953,23023.43772
17,9,52040.54988,4664.257542,19910.00203
17,10,38044.40098,3409.819546,14555.26704
17,11,33307.51237,2985.264686,12742.9983
17,12,33849.8089,3033.869296,12950.47353
17,13,36323.63229,3255.591577,13896.9245
17,14,37621.50155,3371.916183,14393.47151
17,15,40018.86459,3586.785524,15310.66979
17,16,47042.1031,4216.25991,17997.66471
17,17,61696.81333,5529.723024,23604.35624
17,18,58806.54854,5270.676197,22498.5805
17,19,41258.85976,3697.923027,15785.07497
17,20,23832.7581,2136.067392,9118.087013
17,21,15908.11728,1425.80269,6086.227913
17,22,11950.27985,1071.072136,4572.013489
17,23,8982.389196,805.0679065,3436.539151
17,24,5772.992225,517.4181015,2208.667802
18,1,2030.943083,266.3575571,1242.884761
18,2,1046.240533,137.2141223,640.2722093
18,3,993.6156012,130.3123788,608.067109
18,4,1191.978407,156.3275993,729.4600275
18,5,1923.986465,252.3302297,1177.430071
18,6,5684.653995,745.5406131,3478.86156
18,7,19310.90618,2532.619372,11817.77629
18,8,38964.21839,5110.14519,23845.09624
18,9,33695.1274,4419.105537,20620.54851
18,10,24632.92453,3230.600433,15074.7142
18,11,21565.89189,2828.360051,13197.76936
18,12,21917.01713,2874.410018,13412.64895
18,13,23518.76413,3084.47864,14392.87678
18,14,24359.10632,3194.68926,14907.14452
18,15,25911.3469,3398.265131,15857.07569
18,16,30458.74152,3994.654529,18639.96386
18,17,39947.34856,5239.082408,24446.74653
18,18,38075.96479,4993.651005,23301.50796
18,19,26714.21688,3503.56128,16348.4114
18,20,15431.19398,2023.796318,9443.492538
18,21,10300.16093,1350.862919,6303.432705
18,22,7737.547027,1014.776899,4735.179124
18,23,5815.902196,762.7537741,3559.182072
18,24,3737.887262,490.2227582,2287.490553
19,1,2030.943083,266.3575571,1242.884761
19,2,1046.240533,137.2141223,640.2722093
19,3,993.6156012,130.3123788,608.067109
19,4,1191.978407,156.3275993,729.4600275
19,5,1923.986465,252.3302297,1177.430071
19,6,5684.653995,745.5406131,3478.86156
19,7,19310.90618,2532.619372,11817.77629
19,8,38964.21839,5110.14519,23845.09624
19,9,33695.1274,4419.105537,20620.54851
19,10,24632.92453,3230.600433,15074.7142
19,11,21565.89189,2828.360051,13197.76936
19,12,21917.01713,2874.410018,13412.64895
19,13,23518.76413,3084.47864,14392.87678
19,14,24359.10632,3194.68926,14907.14452
19,15,25911.3469,3398.265131,15857.07569
19,16,30458.74152,3994.654529,18639.96386
19,17,39947.34856,5239.082408,24446.74653
19,18,38075.96479,4993.651005,23301.50796
19,19,26714.21688,3503.56128,16348.4114
19,20,15431.19398,2023.796318,9443.492538
19,21,10300.16093,1350.862919,6303.432705
19,22,7737.547027,1014.776899,4735.179124
19,23,5815.902196,762.7537741,3559.182072
19,24,3737.887262,490.2227582,2287.490553
20,1,4584.47969,1424.65572,5089.928512
20,2,2361.695172,733.9115369,2622.077184
20,3,2242.904088,696.9964651,2490.189126
20,4,2690.671562,836.1430062,2987.323933
20,5,4343.044838,1349.62833,4821.874945
20,6,12832.05867,3987.642439,14246.82095
20,7,43590.81155,13546.11716,48396.793
20,8,87954.54161,27332.42358,97651.72046
20,9,76060.53983,23636.28818,84446.3792
20,10,55604.28709,17279.37978,61734.78026
20,11,48681.02618,15127.93317,54048.21484
20,12,49473.62669,15374.23874,54928.20127
20,13,53089.27532,16497.82415,58942.48299
20,14,54986.19294,17087.30316,61048.5399
20,15,58490.08995,18176.16105,64938.74915
20,16,68754.99518,21366.04452,76335.38243
20,17,90173.77676,28022.06477,100115.6311
20,18,85949.47282,26709.33592,95425.58849
20,19,60302.42095,18739.35424,66950.89357
20,20,34833.07633,10824.5962,38673.49849
20,21,23250.71489,7225.304983,25814.1566
20,22,17466.08632,5427.695499,19391.7602
20,23,13128.32729,4079.709766,14575.75383
20,24,8437.591571,2622.034321,9367.85433
21,1,3261.691365,456.585345,1986.123704
21,2,1680.260634,235.2099863,1023.151825
21,3,1595.745078,223.3791414,971.6882345
21,4,1914.315428,267.9739657,1165.673518
21,5,3089.919207,432.5399521,1881.527433
21,6,9129.545288,1277.992341,5559.203577
21,7,31013.28466,4341.370684,18884.74809
21,8,62576.47286,8759.719192,38104.34592
21,9,54114.3211,7575.151417,32951.53459
21,10,39560.43768,5537.837295,24089.31877
21,11,34634.78813,4848.324049,21089.9702
21,12,35198.69471,4927.262076,21433.34671
21,13,37771.09783,5287.357939,22999.74594
21,14,39120.68607,5476.279005,23821.54325
21,15,41613.58197,5825.245111,25339.52857
21,16,48916.6905,6847.565115,29786.57011
21,17,64155.37835,8980.741056,39065.78011
21,18,61149.93899,8560.02695,37235.69453
21,19,42902.98988,6005.741881,26124.68061
21,20,24782.47303,3469.155335,15090.65439
21,21,16542.04209,2315.624977,10072.8543
21,22,12426.48824,1739.512352,7566.792832
21,23,9340.32969,1307.498833,5687.555358
21,24,6003.041006,840.3310558,3655.398596
22,1,3119.406447,336.3274797,1563.186539
22,2,1606.962544,173.2591349,805.2757022
22,3,1526.133814,164.5443606,764.7710788
22,4,1830.807154,197.393564,917.4479656
22,5,2955.127513,318.6152897,1480.863628
22,6,8731.286697,941.3879529,4375.393224
22,7,29660.39066,3197.91749,14863.31589
22,8,59846.69639,6452.537977,29990.17658
22,9,51753.68948,5579.967934,25934.63599
22,10,37834.69081,4079.252391,18959.59388
22,11,33123.91311,3571.346794,16598.94469
22,12,33663.22036,3629.493705,16869.20054
22,13,36123.40743,3894.745614,18102.04126
22,14,37414.12251,4033.907649,18748.84009
22,15,39798.27069,4290.961215,19943.57647
22,16,46782.79537,5044.017164,23443.63814
22,17,61356.72521,6615.345932,30746.87718
22,18,58482.39227,6305.441735,29306.50106
22,19,41031.4307,4423.91779,20561.53349
22,20,23701.38603,2555.430837,11877.15939
22,21,15820.4278,1705.723412,7927.87993
22,22,11884.40695,1281.35038,5955.47431
22,23,8932.876041,963.1228685,4476.413002
22,24,5741.170061,619.0002136,2876.995963
23,1,3408.514706,728.3732598,3154.124838
23,2,1755.896693,375.2215579,1624.847727
23,3,1667.576712,356.3482604,1543.119388
23,4,2000.487341,427.4886899,1851.183684
23,5,3229.010313,690.0145578,2988.017512
23,6,9540.507021,2038.732644,8828.464231
23,7,32409.33154,6925.623768,29990.50507
23,8,65393.32024,13974.04733,60512.77856
23,9,56550.24912,12084.35135,52329.69804
23,10,41341.23021,8834.30151,38255.78361
23,11,36193.85511,7734.347217,33492.57587
23,12,36783.14564,7860.274052,34037.8855
23,13,39471.34416,8434.721307,36525.45397
23,14,40881.6834,8736.099908,37830.53446
23,15,43486.79572,9292.792283,40241.21775
23,16,51118.64988,10923.66056,47303.47885
23,17,67043.29934,14326.63512,62039.6137
23,18,63902.57169,13655.48588,59133.29
23,19,44834.24565,9580.731924,41488.10259
23,20,25898.04317,5534.211747,23965.17787
23,21,17286.67351,3694.028579,15996.5061
23,22,12985.86014,2774.977989,12016.6781
23,23,9760.779773,2085.80323,9032.297226
23,24,6273.264775,1340.548218,5805.068175
24,1,3166.586513,575.2866699,2353.532085
24,2,1631.26736,296.3589857,1212.42229
24,3,1549.21612,281.4524027,1151.438569
24,4,1858.497551,337.6408201,1381.308737
24,5,2999.822911,544.9900471,2229.586794
24,6,8863.344731,1610.239939,6587.587651
24,7,30108.99497,5470.023756,22378.1935
24,8,60751.85932,11037.03774,45153.1798
24,9,52536.44816,9544.510528,39047.16195
24,10,38406.92891,6977.543214,28545.54553
24,11,33624.90214,6108.772932,24991.35448
24,12,34172.36625,6208.232967,25398.25142
24,13,36669.76289,6661.945186,27254.41518
24,14,37979.99964,6899.981234,28228.23484
24,15,40400.20733,7339.670223,30027.02873
24,16,47490.37081,8627.769102,35296.71808
24,17,62284.72686,11315.52003,46292.46745
24,18,59366.92053,10785.43026,44123.83861
24,19,41652.0185,7567.091858,30957.4242
24,20,24059.86222,4371.05317,17882.23927
24,21,16059.70691,2917.632369,11936.20807
24,22,12064.15496,2191.744171,8966.55615
24,23,9067.983052,1647.417417,6739.682928
24,24,5828.003498,1058.797134,4331.602237
25,1,3990.741633,665.4141733,2660.743695
25,2,2055.830953,342.7881781,1370.682381
25,3,1952.424556,325.5462497,1301.738325
25,4,2342.20146,390.5374468,1561.61394
25,5,3780.575119,630.3711186,2520.619558
25,6,11170.17289,1862.508788,7447.479648
25,7,37945.34565,6326.987093,25299.26727
25,8,76563.50878,12766.15942,51047.12156
25,9,66209.9046,11039.80487,44144.07205
25,10,48402.95049,8070.682657,32271.65704
25,11,42376.32427,7065.806151,28253.52978
25,12,43066.27472,7180.848129,28713.53985
25,13,46213.65904,7705.641345,30811.99266
25,14,47864.906,7980.969399,31912.92711
25,15,50915.01171,8489.542431,33946.52143
25,16,59850.50438,9979.441806,39904.07468
25,17,78495.32978,13088.27024,52335.12288
25,18,74818.11737,12475.13377,49883.41825
25,19,52492.62689,8752.593162,34998.36343
25,20,30321.82872,5055.845866,20216.44646
25,21,20239.50419,3374.724346,13494.26701
25,22,15204.04551,2535.114599,10136.98003
25,23,11428.07163,1905.510688,7619.428249
25,24,7344.835236,1224.673987,4897.015602
26,1,6878.70175,1265.381304,5863.826837
26,2,3543.563897,651.8613057,3020.750984
26,3,3365.325908,619.0732846,2868.810002
26,4,4037.170722,742.663447,3441.531685
26,5,6516.445081,1198.741866,5555.017057
26,6,19253.63626,3541.829875,16412.97924
26,7,65405.0649,12031.68117,55755.28476
26,8,131969.8418,24276.69879,112499.1791
26,9,114123.6964,20993.7859,97286.03132
26,10,83430.47254,15347.57051,71121.24668
26,11,73042.58774,13436.65248,62265.97719
26,12,74231.8312,13655.42144,63279.76119
26,13,79656.86746,14653.39165,67904.39449
26,14,82503.06407,15176.96778,70330.66687
26,15,87760.42459,16144.09296,74812.3631
26,16,103162.2207,18977.35214,87941.79781
26,17,135299.654,24889.23911,115337.7151
26,18,128961.3716,23723.27142,109934.5748
26,19,90479.70469,16644.32198,77130.44407
26,20,52264.67545,9614.422252,44553.61167
26,21,34886.12536,6417.526505,29739.07077
26,22,26206.68138,4820.887119,22340.18092
26,23,19698.1673,3623.60421,16791.92473
26,24,12660.03556,2328.894737,10792.19001
27,1,1879.440177,658.4544151,2302.182106
27,2,968.1937961,339.202858,1185.969343
27,3,919.4945432,322.1412678,1126.316181
27,4,1103.060015,386.4527033,1351.170982
27,5,1780.462236,623.7778858,2180.941086
27,6,5260.594059,1843.028273,6443.857939
27,7,17870.36439,6260.811316,21889.94021
27,8,36057.59224,12632.63449,44168.0159
27,9,31181.5613,10924.33638,38195.22075
27,10,22795.37445,7986.269067,27922.73135
27,11,19957.13422,6991.902853,24446.08657
27,12,20282.06646,7105.741574,24844.10572
27,13,21764.32742,7625.045827,26659.77121
27,14,22541.98234,7897.494146,27612.34383
27,15,23978.42994,8400.747865,29371.89116
27,16,28186.60112,9875.063955,34526.60505
27,17,36967.38353,12951.37626,45282.44628
27,18,35235.59997,12344.65276,43161.13315
27,19,24721.40797,8661.047273,30281.98702
27,20,14280.06831,5002.96532,17492.0799
27,21,9531.796555,3339.427134,11675.78076
27,22,7160.346778,2508.599106,8770.92148
27,23,5382.051496,1885.580404,6592.634762
27,24,3459.0509,1211.864769,4237.094206
29,1,610.3529797,235.1048722,822.0072301
29,2,314.4233987,121.1142985,423.4571071
29,3,298.6081924,115.0223613,402.1576061
29,4,358.2215466,137.985123,482.4432929
29,5,578.2096415,222.7234214,778.7174334
29,6,1708.391306,658.0636664,2300.81617
29,7,5803.446304,2235.458083,7815.927801
29,8,11709.79482,4510.553578,15770.44158
29,9,10126.29137,3900.596078,13637.82106
29,10,7402.855854,2851.54253,9969.970227
29,11,6481.130116,2496.49845,8728.614412
29,12,6586.652687,2537.145209,8870.729416
29,13,7068.020707,2722.565729,9519.023118
29,14,7320.566122,2819.844942,9859.144595
29,15,7787.056133,2999.534528,10487.40099
29,16,9153.670431,3525.947425,12327.92094
29,17,12005.25186,4624.36213,16168.35529
29,18,11442.85074,4407.728072,15410.92836
29,19,8028.340139,3092.475904,10812.3559
29,20,4637.488519,1786.337057,6245.646731
29,21,3095.475184,1192.361341,4168.904006
29,22,2325.340835,895.7094961,3131.707458
29,23,1747.834917,673.2571456,2353.937782
29,24,1123.335581,432.7031686,1512.878613
